rorinline:"<<instruction_no+1<<endl<,0
f_access[index];queue<int>dummy_q;intoffse,2
8+3);registers[temporary_register_no]=this,1
);hex_PC="0x"+hex_PC;cout<<"Executed:"<<executed_instruction<<";PC="<<hex_PC<<e,0
fintegerintstart_location=imm+register_values[rs1];if(inst=="lb"){int8_tbyte=read,2
i++){byte[i]=binary_to_decimal(binary_,1
egister_values[rd]=register_values[rd]&mask;register_values[rd]&=mask;}}elseif(ins,3
sh({offset_to_label[PC],-1});stringe,3
rands();initialize();ifstreaminstruction_file;vector<vector<string>>assembly_code;stri,4
ck_size));//Thesemanyareforindexinttag_size=20-offset_size-index_size;//Andthe,0
ociativity*block_size));//Thesemanyareforindexinttag_size=20-offset_size-index_size;//Andthes,0
mal(bin_instr);imm=decimal;}else{imm=stoi(instruction[2]);}imm=imm<<,4
(0);}elseif(registers.find(assembly_code[instruction_no][1])==regis,4
n_no][0]];stringrd=registers[assembly_code[instruction_no][1]];stringrs1=registers[assembly_code[i,4
PC=binary_to_hex(bin_PC);hex_PC="0x"+h,1
ct7["and"]="0000000";funct7["or"]="0000000";funct7["xor"]="0000000";funct7,3
youmustenter4operands"<<endl;exit(0);}elseif(registers.find(assembly_code,1
end_storage=(mem_loc/block_size)*block_size+(block_size-1);cache_block[0]=1;//Th,3
Codeforthe,0
;}elseif(r=="a0"||r=="x10"){r="x10";}elseif(r=="a1"||r=="x11"){r="x11";}elseif(r=="a2"||r=="x1,4
"x6";}elseif(r=="t2"||r=="x7"){r="x7";}elseif(r,2
re_value;byte[1]=store_value>>8;memory[mem_l,1
ecifiedbytheuserstrings_addr="";//store,0
hatareoccupiedbythedatasection,andsubtractthembreak_lines.inse,0
mbly_code,instruction_no);}elsei,0
stics:Accesses="<<hits+misses<<",Hit="<<hits<<",Miss="<<,0
instruction_no][1])==registers.end()){cout<<"Errorinline:"<<,2
;//Makesthepositionsofindexbitsandoffsetbits,0
ngtop_of_stack=stack_of_functions.,0
stringrs1=registers[assembly_code[instruction_no][2]];stringrs2=registers[assembly_code[instruction,3
s[this_register];stringvalue_of_r,1
0is0regist,0
embly_code[instruction_no][0]=="srli"||assembly_code[instruction_no][0]=,4
herequiredfieldsinitialize_registers();ini,1
size();j++){for(intk=0;k<cac,1
)'){cur.pop_back();}cur_instruction.push_back(cur);cur="";}}if(cur!=""){if(cur[cur.size()-1,5
out<<"BlockSize:"<<block_size<<endl;cout<<"Associativity:"<<associativity<<endl;cout<<"Replacement,0
d_set<string>load_operands;unordered_map<string,int>labels;unordered_map<string,int6,2
instruction_n,0
youmustenter4operands",0
;top_line=PC/4+1;stack_of_functions.p,0
edwithfindingtherealdata,0
_block[2]=tag;for(intj=sta,1
orlocationspecifiedbythemem_locfor(inti=1;i<instruction.size();i++){uint64_tstore_valu,1
stringfirst_word=executed_instruction.substr(0,pos);if(first_word.back()==':'){executed_instruc,3
sk=temp_mask-1;index_mask=index_mask^temp_mask;//Makestheposition,0
efollowingensurethat64bitscanbehandledbyourcode#definestoistoll#defineintlon,0
];cache[index][i]=new_data;break;}}//Nowcheckiftheremoveddatahasadirtybitset,andifso,,2
seif(inst=="lw"){vector<int3,1
ines.insert(break_,0
PC/4];intpos=executed_in,0
e(index,tag,true,mem_loc,"read",true,false);returnval;}}}else{returnmemory[m,1
dword"){data_base_addre,0
alueofrs1";exit(0);}elseif(stoi(assembly_code[instruction_no][3])<-pow(2,11)||s,5
hex["1110"]='e';bin_to_hex["1111"]='f';stringhe,2
